,Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
7655,Second Class,Consumer,United States,Las Vegas,Nevada,89115,West,Office Supplies,Paper,25.92,4,0.0,12.4416
1365,First Class,Corporate,United States,Tucson,Arizona,85705,West,Technology,Accessories,239.952,6,0.2,-35.9928
3901,Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19143,East,Technology,Accessories,47.984,2,0.2,-1.1996
8849,First Class,Corporate,United States,Raleigh,North Carolina,27604,South,Furniture,Furnishings,159.84,10,0.2,45.954
5723,Standard Class,Corporate,United States,San Francisco,California,94109,West,Office Supplies,Paper,12.96,2,0.0,6.2208
8971,Standard Class,Consumer,United States,New York City,New York,10011,East,Furniture,Chairs,271.764,2,0.1,60.392
933,Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Paper,45.056,8,0.2,15.2064
3258,Second Class,Corporate,United States,Franklin,Tennessee,37064,South,Office Supplies,Binders,2.946,2,0.7,-2.0622
5402,Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Binders,24.672,4,0.2,7.71
5743,First Class,Corporate,United States,Fairfield,California,94533,West,Office Supplies,Paper,20.04,3,0.0,9.6192
997,Standard Class,Consumer,United States,Henderson,Kentucky,42420,South,Office Supplies,Storage,36.63,3,0.0,9.8901
8856,Standard Class,Corporate,United States,Sacramento,California,95823,West,Technology,Accessories,209.94,6,0.0,39.8886
1679,Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Technology,Phones,32.382,3,0.4,4.3176
8541,First Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Storage,33.568,2,0.2,1.6784
2433,Standard Class,Consumer,United States,Houston,Texas,77070,Central,Technology,Phones,54.368,4,0.2,4.0776
5140,Standard Class,Consumer,United States,San Francisco,California,94109,West,Technology,Accessories,119.9,2,0.0,43.164
9828,Standard Class,Corporate,United States,New York City,New York,10035,East,Office Supplies,Binders,11.568,3,0.2,3.7596
3065,Second Class,Home Office,United States,Albuquerque,New Mexico,87105,West,Technology,Phones,140.736,8,0.2,49.2576
9692,Standard Class,Corporate,United States,Fairfield,Connecticut,6824,East,Office Supplies,Storage,470.36,11,0.0,122.2936
7974,Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Furniture,Furnishings,254.352,3,0.2,0.0
2465,Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Labels,3.15,1,0.0,1.512
9494,Standard Class,Corporate,United States,Broken Arrow,Oklahoma,74012,Central,Office Supplies,Binders,11.88,2,0.0,5.346
6641,Standard Class,Consumer,United States,Indianapolis,Indiana,46203,Central,Technology,Accessories,79.78,2,0.0,29.5186
2346,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Binders,1.272,2,0.8,-2.1624
